NO,GAP,TIME,RACE,TIRE,LAP,STINT_LAP
5,0,1:32.868,hungary2015,Soft,0.0,0.0
7,1.332 ,1:34.200,hungary2015,Soft,0.0,0.0
6,3.110 ,1:35.978,hungary2015,Soft,0.0,0.0
77,4.414 ,1:37.282,hungary2015,Soft,0.0,0.0
26,5.615 ,1:38.483,hungary2015,Soft,0.0,0.0
27,5.901 ,1:38.769,hungary2015,Soft,0.0,0.0
3,6.325 ,1:39.193,hungary2015,Soft,0.0,0.0
11,6.915 ,1:39.783,hungary2015,Soft,0.0,0.0
19,7.907 ,1:40.775,hungary2015,Soft,0.0,0.0
44,8.767 ,1:41.635,hungary2015,Soft,0.0,0.0
55,9.264 ,1:42.132,hungary2015,Soft,0.0,0.0
14,9.824 ,1:42.692,hungary2015,Soft,0.0,0.0
33,10.218 ,1:43.086,hungary2015,Soft,0.0,0.0
22,10.599 ,1:43.467,hungary2015,Soft,0.0,0.0
13,10.877 ,1:43.745,hungary2015,Medium,0.0,0.0
8,12.506 ,1:45.374,hungary2015,Soft,0.0,0.0
98,12.574 ,1:45.442,hungary2015,Soft,0.0,0.0
9,12.713 ,1:45.581,hungary2015,Soft,0.0,0.0
12,13.057 ,1:45.925,hungary2015,Soft,0.0,0.0
28,14.167 ,1:47.035,hungary2015,Soft,0.0,0.0
5,0,1:28.820,hungary2015,Soft,1.0,1.0
7,1.599 ,1:29.087,hungary2015,Soft,1.0,1.0
6,3.789 ,1:29.499,hungary2015,Soft,1.0,1.0
77,6.158 ,1:30.564,hungary2015,Soft,1.0,1.0
27,7.303 ,1:30.222,hungary2015,Soft,1.0,1.0
26,8.451 ,1:31.656,hungary2015,Soft,1.0,1.0
3,8.887 ,1:31.382,hungary2015,Soft,1.0,1.0
11,9.990 ,1:31.895,hungary2015,Soft,1.0,1.0
19,10.944 ,1:31.857,hungary2015,Soft,1.0,1.0
44,11.292 ,1:31.345,hungary2015,Soft,1.0,1.0
55,12.088 ,1:31.644,hungary2015,Soft,1.0,1.0
14,13.142 ,1:32.138,hungary2015,Soft,1.0,1.0
33,13.945 ,1:32.547,hungary2015,Soft,1.0,1.0
22,14.592 ,1:32.813,hungary2015,Soft,1.0,1.0
13,15.299 ,1:33.242,hungary2015,Medium,1.0,1.0
8,15.917 ,1:32.231,hungary2015,Soft,1.0,1.0
9,16.758 ,1:32.865,hungary2015,Soft,1.0,1.0
12,17.436 ,1:33.199,hungary2015,Soft,1.0,1.0
98,18.457 ,1:34.703,hungary2015,Soft,1.0,1.0
28,20.487 ,1:35.140,hungary2015,Soft,1.0,1.0
5,0,1:28.664,hungary2015,Soft,2.0,2.0
7,1.666 ,1:28.731,hungary2015,Soft,2.0,2.0
6,3.933 ,1:28.808,hungary2015,Soft,2.0,2.0
77,7.290 ,1:29.796,hungary2015,Soft,2.0,2.0
27,8.768 ,1:30.129,hungary2015,Soft,2.0,2.0
26,9.891 ,1:30.104,hungary2015,Soft,2.0,2.0
3,10.556 ,1:30.333,hungary2015,Soft,2.0,2.0
11,11.931 ,1:30.605,hungary2015,Soft,2.0,2.0
19,13.014 ,1:30.734,hungary2015,Soft,2.0,2.0
44,13.489 ,1:30.861,hungary2015,Soft,2.0,2.0
55,14.421 ,1:30.997,hungary2015,Soft,2.0,2.0
14,15.434 ,1:30.956,hungary2015,Soft,2.0,2.0
33,16.028 ,1:30.747,hungary2015,Soft,2.0,2.0
22,17.327 ,1:31.399,hungary2015,Soft,2.0,2.0
13,18.311 ,1:31.676,hungary2015,Medium,2.0,2.0
8,18.710 ,1:31.457,hungary2015,Soft,2.0,2.0
9,19.863 ,1:31.769,hungary2015,Soft,2.0,2.0
12,21.112 ,1:32.340,hungary2015,Soft,2.0,2.0
98,22.763 ,1:32.970,hungary2015,Soft,2.0,2.0
28,25.178 ,1:33.355,hungary2015,Soft,2.0,2.0
5,0,1:28.067,hungary2015,Soft,3.0,3.0
7,1.854 ,1:28.255,hungary2015,Soft,3.0,3.0
6,4.275 ,1:28.409,hungary2015,Soft,3.0,3.0
77,8.997 ,1:29.774,hungary2015,Soft,3.0,3.0
27,10.774 ,1:30.073,hungary2015,Soft,3.0,3.0
26,11.827 ,1:30.003,hungary2015,Soft,3.0,3.0
3,12.451 ,1:29.962,hungary2015,Soft,3.0,3.0
11,14.223 ,1:30.359,hungary2015,Soft,3.0,3.0
19,15.259 ,1:30.312,hungary2015,Soft,3.0,3.0
44,15.623 ,1:30.201,hungary2015,Soft,3.0,3.0
55,16.690 ,1:30.336,hungary2015,Soft,3.0,3.0
14,17.996 ,1:30.629,hungary2015,Soft,3.0,3.0
33,18.669 ,1:30.708,hungary2015,Soft,3.0,3.0
22,20.119 ,1:30.859,hungary2015,Soft,3.0,3.0
13,21.685 ,1:31.441,hungary2015,Medium,3.0,3.0
8,22.110 ,1:31.467,hungary2015,Soft,3.0,3.0
9,22.999 ,1:31.203,hungary2015,Soft,3.0,3.0
12,24.006 ,1:30.961,hungary2015,Soft,3.0,3.0
98,27.323 ,1:32.627,hungary2015,Soft,3.0,3.0
28,29.952 ,1:32.841,hungary2015,Soft,3.0,3.0
5,0,1:28.312,hungary2015,Soft,4.0,4.0
7,1.851 ,1:28.309,hungary2015,Soft,4.0,4.0
6,4.240 ,1:28.277,hungary2015,Soft,4.0,4.0
77,10.262 ,1:29.577,hungary2015,Soft,4.0,4.0
27,12.383 ,1:29.921,hungary2015,Soft,4.0,4.0
26,13.102 ,1:29.587,hungary2015,Soft,4.0,4.0
3,13.664 ,1:29.525,hungary2015,Soft,4.0,4.0
11,15.991 ,1:30.080,hungary2015,Soft,4.0,4.0
19,17.225 ,1:30.278,hungary2015,Soft,4.0,4.0
44,17.674 ,1:30.363,hungary2015,Soft,4.0,4.0
55,18.603 ,1:30.225,hungary2015,Soft,4.0,4.0
14,20.074 ,1:30.390,hungary2015,Soft,4.0,4.0
33,20.449 ,1:30.092,hungary2015,Soft,4.0,4.0
22,22.365 ,1:30.558,hungary2015,Soft,4.0,4.0
8,23.264 ,1:29.466,hungary2015,Soft,4.0,4.0
13,25.042 ,1:31.669,hungary2015,Medium,4.0,4.0
9,25.450 ,1:30.763,hungary2015,Soft,4.0,4.0
12,26.524 ,1:30.830,hungary2015,Soft,4.0,4.0
98,32.636 ,1:33.625,hungary2015,Soft,4.0,4.0
28,34.339 ,1:32.699,hungary2015,Soft,4.0,4.0
5,0,1:27.976,hungary2015,Soft,5.0,5.0
7,2.043 ,1:28.168,hungary2015,Soft,5.0,5.0
6,4.478 ,1:28.214,hungary2015,Soft,5.0,5.0
77,11.957 ,1:29.671,hungary2015,Soft,5.0,5.0
27,14.123 ,1:29.716,hungary2015,Soft,5.0,5.0
26,14.784 ,1:29.658,hungary2015,Soft,5.0,5.0
3,15.351 ,1:29.663,hungary2015,Soft,5.0,5.0
11,18.092 ,1:30.077,hungary2015,Soft,5.0,5.0
19,19.399 ,1:30.150,hungary2015,Soft,5.0,5.0
44,19.799 ,1:30.101,hungary2015,Soft,5.0,5.0
55,20.617 ,1:29.990,hungary2015,Soft,5.0,5.0
33,22.238 ,1:29.765,hungary2015,Soft,5.0,5.0
14,23.349 ,1:31.251,hungary2015,Soft,5.0,5.0
22,24.901 ,1:30.512,hungary2015,Soft,5.0,5.0
8,25.566 ,1:30.278,hungary2015,Soft,5.0,5.0
9,27.523 ,1:30.049,hungary2015,Soft,5.0,5.0
13,28.880 ,1:31.814,hungary2015,Medium,5.0,5.0
12,29.374 ,1:30.826,hungary2015,Soft,5.0,5.0
28,39.672 ,1:33.309,hungary2015,Soft,5.0,5.0
98,PIT  ,1:35.672,hungary2015,Soft,5.0,5.0
5,0,1:28.132,hungary2015,Soft,6.0,6.0
7,2.281 ,1:28.370,hungary2015,Soft,6.0,6.0
6,4.909 ,1:28.563,hungary2015,Soft,6.0,6.0
77,13.619 ,1:29.794,hungary2015,Soft,6.0,6.0
27,15.501 ,1:29.510,hungary2015,Soft,6.0,6.0
26,16.255 ,1:29.603,hungary2015,Soft,6.0,6.0
3,16.816 ,1:29.597,hungary2015,Soft,6.0,6.0
11,20.383 ,1:30.423,hungary2015,Soft,6.0,6.0
19,21.411 ,1:30.144,hungary2015,Soft,6.0,6.0
44,22.064 ,1:30.397,hungary2015,Soft,6.0,6.0
55,22.872 ,1:30.387,hungary2015,Soft,6.0,6.0
33,23.757 ,1:29.651,hungary2015,Soft,6.0,6.0
14,25.370 ,1:30.153,hungary2015,Soft,6.0,6.0
22,26.773 ,1:30.004,hungary2015,Soft,6.0,6.0
8,27.562 ,1:30.128,hungary2015,Soft,6.0,6.0
9,29.821 ,1:30.430,hungary2015,Soft,6.0,6.0
13,31.366 ,1:30.618,hungary2015,Medium,6.0,6.0
12,32.209 ,1:30.967,hungary2015,Soft,6.0,6.0
28,44.353 ,1:32.813,hungary2015,Soft,6.0,6.0
98,67.838 ,1:55.638,hungary2015,Soft,6.0,0.0
5,0,1:28.361,hungary2015,Soft,7.0,7.0
7,2.175 ,1:28.255,hungary2015,Soft,7.0,7.0
6,5.007 ,1:28.459,hungary2015,Soft,7.0,7.0
77,14.940 ,1:29.682,hungary2015,Soft,7.0,7.0
27,17.061 ,1:29.921,hungary2015,Soft,7.0,7.0
3,17.971 ,1:29.516,hungary2015,Soft,7.0,7.0
26,19.234 ,1:31.340,hungary2015,Soft,7.0,7.0
11,22.082 ,1:30.060,hungary2015,Soft,7.0,7.0
19,23.179 ,1:30.129,hungary2015,Soft,7.0,7.0
44,24.378 ,1:30.675,hungary2015,Soft,7.0,7.0
55,25.149 ,1:30.638,hungary2015,Soft,7.0,7.0
33,25.921 ,1:30.525,hungary2015,Soft,7.0,7.0
14,27.372 ,1:30.363,hungary2015,Soft,7.0,7.0
22,28.494 ,1:30.082,hungary2015,Soft,7.0,7.0
8,29.098 ,1:29.897,hungary2015,Soft,7.0,7.0
9,31.744 ,1:30.284,hungary2015,Soft,7.0,7.0
13,33.853 ,1:30.848,hungary2015,Medium,7.0,7.0
12,34.552 ,1:30.704,hungary2015,Soft,7.0,7.0
28,48.536 ,1:32.544,hungary2015,Soft,7.0,7.0
98,73.122 ,1:33.645,hungary2015,Soft,7.0,1.0
5,0,1:28.271,hungary2015,Soft,8.0,8.0
7,2.245 ,1:28.341,hungary2015,Soft,8.0,8.0
6,5.428 ,1:28.692,hungary2015,Soft,8.0,8.0
77,16.416 ,1:29.747,hungary2015,Soft,8.0,8.0
27,18.763 ,1:29.973,hungary2015,Soft,8.0,8.0
3,19.129 ,1:29.429,hungary2015,Soft,8.0,8.0
26,20.933 ,1:29.970,hungary2015,Soft,8.0,8.0
11,24.049 ,1:30.238,hungary2015,Soft,8.0,8.0
19,25.539 ,1:30.631,hungary2015,Soft,8.0,8.0
44,25.858 ,1:29.751,hungary2015,Soft,8.0,8.0
55,27.079 ,1:30.201,hungary2015,Soft,8.0,8.0
33,27.763 ,1:30.113,hungary2015,Soft,8.0,8.0
14,29.482 ,1:30.381,hungary2015,Soft,8.0,8.0
22,30.692 ,1:30.469,hungary2015,Soft,8.0,8.0
8,31.276 ,1:30.449,hungary2015,Soft,8.0,8.0
9,33.903 ,1:30.430,hungary2015,Soft,8.0,8.0
13,36.205 ,1:30.623,hungary2015,Medium,8.0,8.0
12,36.786 ,1:30.505,hungary2015,Soft,8.0,8.0
28,52.912 ,1:32.647,hungary2015,Soft,8.0,8.0
98,78.545 ,1:33.694,hungary2015,Soft,8.0,2.0
5,0,1:28.339,hungary2015,Soft,9.0,9.0
7,2.356 ,1:28.450,hungary2015,Soft,9.0,9.0
6,5.977 ,1:28.888,hungary2015,Soft,9.0,9.0
77,17.994 ,1:29.917,hungary2015,Soft,9.0,9.0
3,19.620 ,1:28.830,hungary2015,Soft,9.0,9.0
27,21.421 ,1:30.997,hungary2015,Soft,9.0,9.0
26,22.482 ,1:29.888,hungary2015,Soft,9.0,9.0
11,25.762 ,1:30.052,hungary2015,Soft,9.0,9.0
44,26.229 ,1:28.710,hungary2015,Soft,9.0,9.0
19,28.336 ,1:31.136,hungary2015,Soft,9.0,9.0
55,28.926 ,1:30.186,hungary2015,Soft,9.0,9.0
33,29.500 ,1:30.076,hungary2015,Soft,9.0,9.0
14,30.910 ,1:29.767,hungary2015,Soft,9.0,9.0
22,32.593 ,1:30.240,hungary2015,Soft,9.0,9.0
8,33.297 ,1:30.360,hungary2015,Soft,9.0,9.0
9,35.902 ,1:30.338,hungary2015,Soft,9.0,9.0
13,38.234 ,1:30.368,hungary2015,Medium,9.0,9.0
12,39.138 ,1:30.691,hungary2015,Soft,9.0,9.0
28,57.245 ,1:32.672,hungary2015,Soft,9.0,9.0
98,82.403 ,1:32.197,hungary2015,Soft,9.0,3.0
5,0,1:28.170,hungary2015,Soft,10.0,10.0
7,2.339 ,1:28.153,hungary2015,Soft,10.0,10.0
6,6.899 ,1:29.092,hungary2015,Soft,10.0,10.0
77,19.497 ,1:29.673,hungary2015,Soft,10.0,10.0
3,20.338 ,1:28.888,hungary2015,Soft,10.0,10.0
27,23.111 ,1:29.860,hungary2015,Soft,10.0,10.0
26,24.928 ,1:30.616,hungary2015,Soft,10.0,10.0
11,27.601 ,1:30.009,hungary2015,Soft,10.0,10.0
44,28.025 ,1:29.966,hungary2015,Soft,10.0,10.0
19,30.338 ,1:30.172,hungary2015,Soft,10.0,10.0
55,31.213 ,1:30.457,hungary2015,Soft,10.0,10.0
33,31.771 ,1:30.441,hungary2015,Soft,10.0,10.0
14,32.830 ,1:30.090,hungary2015,Soft,10.0,10.0
22,35.006 ,1:30.583,hungary2015,Soft,10.0,10.0
8,36.028 ,1:30.901,hungary2015,Soft,10.0,10.0
9,38.127 ,1:30.395,hungary2015,Soft,10.0,10.0
13,40.690 ,1:30.626,hungary2015,Medium,10.0,10.0
12,41.760 ,1:30.792,hungary2015,Soft,10.0,10.0
28,61.822 ,1:32.747,hungary2015,Soft,10.0,10.0
98,85.875 ,1:31.642,hungary2015,Soft,10.0,4.0
5,0,1:28.278,hungary2015,Soft,11.0,11.0
7,2.295 ,1:28.234,hungary2015,Soft,11.0,11.0
6,7.279 ,1:28.658,hungary2015,Soft,11.0,11.0
77,21.019 ,1:29.800,hungary2015,Soft,11.0,11.0
3,21.493 ,1:29.433,hungary2015,Soft,11.0,11.0
27,24.520 ,1:29.687,hungary2015,Soft,11.0,11.0
26,26.270 ,1:29.620,hungary2015,Soft,11.0,11.0
11,30.018 ,1:30.695,hungary2015,Soft,11.0,11.0
44,30.233 ,1:30.486,hungary2015,Soft,11.0,11.0
19,32.462 ,1:30.402,hungary2015,Soft,11.0,11.0
55,33.006 ,1:30.071,hungary2015,Soft,11.0,11.0
33,33.807 ,1:30.314,hungary2015,Soft,11.0,11.0
14,34.627 ,1:30.075,hungary2015,Soft,11.0,11.0
22,36.913 ,1:30.185,hungary2015,Soft,11.0,11.0
8,37.843 ,1:30.093,hungary2015,Soft,11.0,11.0
9,39.907 ,1:30.058,hungary2015,Soft,11.0,11.0
13,43.349 ,1:30.937,hungary2015,Medium,11.0,11.0
12,44.058 ,1:30.576,hungary2015,Soft,11.0,11.0
28,66.110 ,1:32.566,hungary2015,Soft,11.0,11.0
5,0,1:28.183,hungary2015,Soft,12.0,12.0
7,2.538 ,1:28.426,hungary2015,Soft,12.0,12.0
98,1 LAP ,1:34.902,hungary2015,Soft,11.0,5.0
6,7.687 ,1:28.591,hungary2015,Soft,12.0,12.0
3,21.719 ,1:28.409,hungary2015,Soft,12.0,12.0
27,26.117 ,1:29.780,hungary2015,Soft,12.0,12.0
77,PIT  ,1:33.595,hungary2015,Soft,12.0,12.0
44,30.609 ,1:28.559,hungary2015,Soft,12.0,12.0
26,PIT  ,1:32.710,hungary2015,Soft,12.0,12.0
11,33.179 ,1:31.344,hungary2015,Soft,12.0,12.0
19,34.703 ,1:30.424,hungary2015,Soft,12.0,12.0
55,35.230 ,1:30.407,hungary2015,Soft,12.0,12.0
33,35.915 ,1:30.291,hungary2015,Soft,12.0,12.0
14,36.799 ,1:30.355,hungary2015,Soft,12.0,12.0
22,39.040 ,1:30.310,hungary2015,Soft,12.0,12.0
8,39.731 ,1:30.071,hungary2015,Soft,12.0,12.0
9,41.825 ,1:30.101,hungary2015,Soft,12.0,12.0
13,45.434 ,1:30.268,hungary2015,Medium,12.0,12.0
12,46.339 ,1:30.464,hungary2015,Soft,12.0,12.0
28,70.473 ,1:32.546,hungary2015,Soft,12.0,12.0
5,0,1:28.206,hungary2015,Soft,13.0,13.0
7,2.386 ,1:28.054,hungary2015,Soft,13.0,13.0
98,1 LAP ,1:31.839,hungary2015,Soft,12.0,6.0
6,8.508 ,1:29.027,hungary2015,Soft,13.0,13.0
3,22.138 ,1:28.625,hungary2015,Soft,13.0,13.0
27,27.510 ,1:29.599,hungary2015,Soft,13.0,13.0
44,30.544 ,1:28.141,hungary2015,Soft,13.0,13.0
11,34.597 ,1:29.624,hungary2015,Soft,13.0,13.0
55,37.266 ,1:30.242,hungary2015,Soft,13.0,13.0
14,38.793 ,1:30.200,hungary2015,Soft,13.0,13.0
19,PIT  ,1:33.041,hungary2015,Soft,13.0,13.0
33,PIT  ,1:33.177,hungary2015,Soft,13.0,13.0
9,43.889 ,1:30.270,hungary2015,Soft,13.0,13.0
22,PIT  ,1:33.164,hungary2015,Soft,13.0,13.0
8,PIT  ,1:33.249,hungary2015,Soft,13.0,13.0
13,47.591 ,1:30.363,hungary2015,Medium,13.0,13.0
77,47.955 ,1:49.730,hungary2015,Soft,13.0,0.0
26,50.690 ,1:48.099,hungary2015,Medium,13.0,0.0
12,PIT  ,1:34.109,hungary2015,Soft,13.0,13.0
28,74.800 ,1:32.533,hungary2015,Soft,13.0,13.0
5,0,1:28.071,hungary2015,Soft,14.0,14.0
7,2.502 ,1:28.187,hungary2015,Soft,14.0,14.0
6,8.986 ,1:28.549,hungary2015,Soft,14.0,14.0
98,1 LAP ,1:32.608,hungary2015,Soft,13.0,7.0
3,22.784 ,1:28.717,hungary2015,Soft,14.0,14.0
44,30.588 ,1:28.115,hungary2015,Soft,14.0,14.0
27,PIT  ,1:32.257,hungary2015,Soft,14.0,14.0
11,35.917 ,1:29.391,hungary2015,Soft,14.0,14.0
55,PIT  ,1:32.126,hungary2015,Soft,14.0,14.0
14,PIT  ,1:32.306,hungary2015,Soft,14.0,14.0
9,45.731 ,1:29.913,hungary2015,Soft,14.0,14.0
77,48.506 ,1:28.622,hungary2015,Soft,14.0,1.0
13,50.620 ,1:31.100,hungary2015,Medium,14.0,14.0
26,51.619 ,1:29.000,hungary2015,Medium,14.0,1.0
33,60.006 ,1:47.191,hungary2015,Soft,14.0,0.0
22,63.089 ,1:47.162,hungary2015,Soft,14.0,0.0
8,64.714 ,1:48.011,hungary2015,Soft,14.0,0.0
19,66.996 ,1:55.529,hungary2015,Medium,14.0,0.0
12,71.546 ,1:47.375,hungary2015,Soft,14.0,0.0
28,79.419 ,1:32.690,hungary2015,Soft,14.0,14.0
5,0,1:27.913,hungary2015,Soft,15.0,15.0
7,2.729 ,1:28.140,hungary2015,Soft,15.0,15.0
6,9.349 ,1:28.276,hungary2015,Soft,15.0,15.0
98,1 LAP ,1:31.365,hungary2015,Soft,14.0,8.0
3,23.550 ,1:28.679,hungary2015,Soft,15.0,15.0
44,30.370 ,1:27.695,hungary2015,Soft,15.0,15.0
11,PIT  ,1:32.509,hungary2015,Soft,15.0,15.0
77,49.504 ,1:28.911,hungary2015,Soft,15.0,2.0
9,PIT  ,1:33.119,hungary2015,Soft,15.0,15.0
27,51.745 ,1:47.962,hungary2015,Soft,15.0,0.0
13,53.799 ,1:31.092,hungary2015,Medium,15.0,15.0
26,54.083 ,1:30.377,hungary2015,Medium,15.0,2.0
33,60.562 ,1:28.469,hungary2015,Soft,15.0,1.0
14,62.608 ,1:47.493,hungary2015,Soft,15.0,0.0
55,64.122 ,1:50.714,hungary2015,Soft,15.0,0.0
22,65.059 ,1:29.883,hungary2015,Soft,15.0,1.0
8,66.083 ,1:29.282,hungary2015,Soft,15.0,1.0
19,69.549 ,1:30.466,hungary2015,Medium,15.0,1.0
12,71.951 ,1:28.318,hungary2015,Soft,15.0,1.0
28,84.790 ,1:33.284,hungary2015,Soft,15.0,15.0
5,0,1:28.184,hungary2015,Soft,16.0,16.0
7,2.948 ,1:28.403,hungary2015,Soft,16.0,16.0
6,9.959 ,1:28.794,hungary2015,Soft,16.0,16.0
98,1 LAP ,1:32.258,hungary2015,Soft,15.0,9.0
3,24.292 ,1:28.926,hungary2015,Soft,16.0,16.0
44,30.048 ,1:27.862,hungary2015,Soft,16.0,16.0
77,50.355 ,1:29.035,hungary2015,Soft,16.0,3.0
27,52.596 ,1:29.035,hungary2015,Soft,16.0,1.0
26,55.356 ,1:29.457,hungary2015,Medium,16.0,3.0
13,57.333 ,1:31.718,hungary2015,Medium,16.0,16.0
11,59.416 ,1:47.087,hungary2015,Soft,16.0,0.0
33,61.255 ,1:28.877,hungary2015,Soft,16.0,2.0
14,63.766 ,1:29.342,hungary2015,Soft,16.0,1.0
55,64.791 ,1:28.853,hungary2015,Soft,16.0,1.0
22,66.190 ,1:29.315,hungary2015,Soft,16.0,2.0
8,66.897 ,1:28.998,hungary2015,Soft,16.0,2.0
19,71.590 ,1:30.225,hungary2015,Medium,16.0,2.0
9,71.981 ,1:49.228,hungary2015,Soft,16.0,0.0
12,73.746 ,1:29.979,hungary2015,Soft,16.0,2.0
5,0,1:28.748,hungary2015,Soft,17.0,17.0
28,1 LAP ,1:33.886,hungary2015,Soft,16.0,16.0
7,2.841 ,1:28.641,hungary2015,Soft,17.0,17.0
6,9.732 ,1:28.521,hungary2015,Soft,17.0,17.0
98,1 LAP ,1:31.562,hungary2015,Soft,16.0,10.0
3,24.348 ,1:28.804,hungary2015,Soft,17.0,17.0
44,29.261 ,1:27.961,hungary2015,Soft,17.0,17.0
77,50.433 ,1:28.826,hungary2015,Soft,17.0,4.0
27,53.028 ,1:29.180,hungary2015,Soft,17.0,2.0
26,55.857 ,1:29.249,hungary2015,Medium,17.0,4.0
13,58.892 ,1:30.307,hungary2015,Medium,17.0,17.0
11,59.306 ,1:28.638,hungary2015,Soft,17.0,1.0
33,61.338 ,1:28.831,hungary2015,Soft,17.0,3.0
14,64.425 ,1:29.407,hungary2015,Soft,17.0,2.0
55,65.013 ,1:28.970,hungary2015,Soft,17.0,2.0
22,66.916 ,1:29.474,hungary2015,Soft,17.0,3.0
8,67.507 ,1:29.358,hungary2015,Soft,17.0,3.0
19,72.762 ,1:29.920,hungary2015,Medium,17.0,3.0
9,73.369 ,1:30.136,hungary2015,Soft,17.0,1.0
12,74.542 ,1:29.544,hungary2015,Soft,17.0,3.0
5,0,1:28.288,hungary2015,Soft,18.0,18.0
7,3.291 ,1:28.738,hungary2015,Soft,18.0,18.0
28,1 LAP ,1:33.657,hungary2015,Soft,17.0,17.0
6,9.975 ,1:28.531,hungary2015,Soft,18.0,18.0
3,25.271 ,1:29.211,hungary2015,Soft,18.0,18.0
98,1 LAP ,1:33.403,hungary2015,Soft,17.0,11.0
44,PIT  ,1:30.955,hungary2015,Soft,18.0,18.0
77,51.219 ,1:29.074,hungary2015,Soft,18.0,5.0
27,53.594 ,1:28.854,hungary2015,Soft,18.0,3.0
26,56.665 ,1:29.096,hungary2015,Medium,18.0,5.0
13,62.563 ,1:31.959,hungary2015,Medium,18.0,18.0
33,62.787 ,1:29.737,hungary2015,Soft,18.0,4.0
14,65.523 ,1:29.386,hungary2015,Soft,18.0,3.0
55,66.123 ,1:29.398,hungary2015,Soft,18.0,3.0
22,68.163 ,1:29.535,hungary2015,Soft,18.0,4.0
8,68.829 ,1:29.610,hungary2015,Soft,18.0,4.0
11,71.526 ,1:40.508,hungary2015,Soft,18.0,2.0
19,74.440 ,1:29.966,hungary2015,Medium,18.0,4.0
9,75.059 ,1:29.978,hungary2015,Soft,18.0,2.0
12,75.815 ,1:29.561,hungary2015,Soft,18.0,4.0
5,0,1:28.510,hungary2015,Soft,19.0,19.0
7,3.324 ,1:28.543,hungary2015,Soft,19.0,19.0
28,1 LAP ,1:34.500,hungary2015,Soft,18.0,18.0
6,PIT  ,1:31.910,hungary2015,Soft,19.0,19.0
3,25.970 ,1:29.209,hungary2015,Soft,19.0,19.0
98,1 LAP ,1:31.799,hungary2015,Soft,18.0,12.0
44,50.588 ,1:47.170,hungary2015,Soft,19.0,0.0
77,53.428 ,1:30.719,hungary2015,Soft,19.0,6.0
27,54.502 ,1:29.418,hungary2015,Soft,19.0,4.0
26,57.954 ,1:29.799,hungary2015,Medium,19.0,6.0
33,63.051 ,1:28.774,hungary2015,Soft,19.0,5.0
13,65.394 ,1:31.341,hungary2015,Medium,19.0,19.0
14,66.194 ,1:29.181,hungary2015,Soft,19.0,4.0
55,67.065 ,1:29.452,hungary2015,Soft,19.0,4.0
22,69.436 ,1:29.783,hungary2015,Soft,19.0,5.0
8,71.014 ,1:30.695,hungary2015,Soft,19.0,5.0
11,72.269 ,1:29.253,hungary2015,Soft,19.0,3.0
19,76.104 ,1:30.174,hungary2015,Medium,19.0,5.0
9,76.764 ,1:30.215,hungary2015,Soft,19.0,3.0
12,77.257 ,1:29.952,hungary2015,Soft,19.0,5.0
5,PIT  ,1:31.463,hungary2015,Soft,20.0,20.0
7,0.090 ,1:28.229,hungary2015,Soft,20.0,20.0
28,1 LAP ,1:32.444,hungary2015,Soft,19.0,19.0
3,PIT  ,1:32.192,hungary2015,Soft,20.0,20.0
6,28.344 ,1:46.432,hungary2015,Medium,20.0,0.0
98,1 LAP ,1:32.447,hungary2015,Soft,19.0,13.0
44,46.138 ,1:27.013,hungary2015,Soft,20.0,1.0
77,51.081 ,1:29.116,hungary2015,Soft,20.0,7.0
27,52.530 ,1:29.491,hungary2015,Soft,20.0,5.0
26,55.868 ,1:29.377,hungary2015,Medium,20.0,7.0
33,61.218 ,1:29.630,hungary2015,Soft,20.0,6.0
13,64.973 ,1:31.042,hungary2015,Medium,20.0,20.0
14,65.269 ,1:30.538,hungary2015,Soft,20.0,5.0
55,65.835 ,1:30.233,hungary2015,Soft,20.0,5.0
22,67.845 ,1:29.872,hungary2015,Soft,20.0,6.0
8,70.288 ,1:30.737,hungary2015,Soft,20.0,6.0
11,70.790 ,1:29.984,hungary2015,Soft,20.0,4.0
19,74.328 ,1:29.687,hungary2015,Medium,20.0,6.0
9,75.291 ,1:29.990,hungary2015,Soft,20.0,4.0
12,75.695 ,1:29.901,hungary2015,Soft,20.0,6.0
7,PIT  ,1:31.501,hungary2015,Soft,21.0,21.0
5,14.086 ,1:45.677,hungary2015,Soft,21.0,0.0
28,1 LAP ,1:33.615,hungary2015,Soft,20.0,20.0
6,25.113 ,1:28.360,hungary2015,Medium,21.0,1.0
98,1 LAP ,1:31.670,hungary2015,Soft,20.0,14.0
3,41.536 ,1:46.428,hungary2015,Medium,21.0,0.0
44,42.182 ,1:27.635,hungary2015,Soft,21.0,2.0
77,48.585 ,1:29.095,hungary2015,Soft,21.0,8.0
27,50.216 ,1:29.277,hungary2015,Soft,21.0,6.0
26,53.813 ,1:29.536,hungary2015,Medium,21.0,8.0
33,58.681 ,1:29.054,hungary2015,Soft,21.0,7.0
14,62.994 ,1:29.316,hungary2015,Soft,21.0,6.0
13,64.940 ,1:31.558,hungary2015,Medium,21.0,21.0
55,65.249 ,1:31.005,hungary2015,Soft,21.0,6.0
22,66.486 ,1:30.232,hungary2015,Soft,21.0,7.0
8,68.213 ,1:29.516,hungary2015,Soft,21.0,7.0
11,70.047 ,1:30.848,hungary2015,Soft,21.0,5.0
19,73.040 ,1:30.303,hungary2015,Medium,21.0,7.0
9,73.795 ,1:30.095,hungary2015,Soft,21.0,5.0
12,74.334 ,1:30.230,hungary2015,Soft,21.0,7.0
